id	Mock-ASO-M1	Mock-ASO-M2	Mock-ASO-M3	Mock-ASO-M4	Mock-ASO-M5	Ctrl-M1	Ctrl-M2	Ctrl-M3	Ctrl-M4	Ctrl-M5	PAO1-ASO-M1	PAO1-ASO-M2	PAO1-ASO-M3	PAO1-ASO-M5	PAO1-M1	PAO1-M2	PAO1-M3	PAO1-M4	PAO1-M5
0610009B22Rik	685	588	1385	839	654	1046	849	1700	660	666	722	769	759	639	678	653	538	632	380
0610010F05Rik	905	1152	1237	1095	1056	1118	1211	914	1263	1175	1188	1280	1146	1443	985	984	1081	1342	874
0610010K14Rik	1432	1242	1550	1496	1343	1449	1503	1373	1228	1519	1107	1166	1274	1255	1121	1454	1199	1150	789
0610012G03Rik	888	690	1138	842	866	1060	898	1275	841	1044	847	869	878	960	901	821	904	736	914
0610030E20Rik	1332	1740	879	1138	1529	1587	1752	562	1923	1824	1554	1441	1477	1383	1928	1646	909	1810	807
0610040J01Rik	1390	1264	1477	1554	1256	1005	1251	805	1179	1350	1107	1310	1201	1420	863	1287	1534	1012	1808
1110002E22Rik	25	22	9	8	7	6	20	5	10	13	21	16	20	41	6	23	22	17	6
1110004F10Rik	3344	2795	3050	2765	2769	2854	2634	2454	3080	3043	2781	2896	3051	3306	2429	3025	4183	3029	3978
1110008P14Rik	1159	905	1254	916	845	1042	933	1400	845	983	1242	1449	1376	1401	914	1210	1225	1179	1667
1110017D15Rik	1166	794	1005	893	756	719	775	596	617	993	418	485	486	434	529	510	390	363	171
1110025M09Rik	159	138	212	180	177	194	219	218	134	235	140	96	131	187	197	148	176	160	91
1110032A03Rik	2824	2346	4324	2956	2279	2853	3220	3773	2112	2924	1166	1389	1410	1190	1965	1651	1131	1418	573
1110032F04Rik	14	15	9	28	16	20	14	35	24	17	0	6	4	2	11	18	3	1	23
1110038F14Rik	1251	969	1286	1296	1114	1332	1199	1044	1128	1487	774	850	818	763	799	915	722	798	459
1110051M20Rik	1484	1309	1441	1501	1320	1147	1320	975	1288	1616	803	758	934	696	1049	1241	516	911	144
1110059E24Rik	1046	1104	2024	1272	1205	1571	1507	2391	1228	1095	744	861	803	861	837	1045	637	894	535
1110059G10Rik	985	778	1268	1078	985	1193	1111	1632	848	905	713	674	825	843	682	769	1268	808	1504
1110065P20Rik	455	360	453	333	372	452	336	729	387	291	375	434	402	413	296	409	399	288	271
1190005I06Rik	0	0	3	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0
1190007I07Rik	230	196	275	181	137	212	188	276	194	159	121	125	143	176	129	209	126	117	51
1300017J02Rik	1	1	11	4	2	5	6	8	6	10	0	14	1	8	12	1	4	6	12
1500009L16Rik	115	105	117	174	155	100	107	123	132	147	92	124	139	93	163	161	132	123	170
1520401A03Rik	0	0	4	0	4	4	0	4	1	0	0	0	0	1	0	0	0	0	0
1600012H06Rik	1855	1428	1783	1586	1448	1738	1795	1676	1661	1694	1645	1728	1680	1763	1656	1742	1428	1802	1155
1600014C10Rik	1142	1042	826	759	935	980	874	606	1262	940	3749	3288	2590	3279	2613	2115	1030	2979	721
1600014C23Rik	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	4	1	22	15	14	2	2	0	16	6	6	8	5	2	10	20	7	0	14
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1700001J03Rik	15	9	18	26	44	17	20	25	12	39	1	6	9	16	13	14	31	16	149
1700001K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1700001L19Rik	395	378	1039	548	536	554	751	1046	349	684	204	268	273	292	393	269	278	234	127
1700001O22Rik	40	15	46	27	29	13	37	19	26	34	4	22	15	19	13	21	1	26	0
1700001P01Rik	6	0	4	10	6	13	1	4	2	1	1	4	0	1	1	3	5	0	6
1700003E16Rik	356	335	252	320	254	240	326	70	275	358	165	225	181	190	337	248	73	154	30
1700003F12Rik	11	1	13	7	4	15	11	10	5	4	1	0	1	0	0	4	8	6	12
1700007K13Rik	1309	1009	1465	1226	1056	1151	1219	1194	900	1385	531	687	678	579	666	688	326	431	74
1700008O03Rik	14	4	10	1	10	17	8	4	5	9	3	5	12	8	2	0	5	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700010B08Rik	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
1700010I14Rik	85	78	116	56	71	96	88	93	75	78	99	107	100	89	90	82	37	86	15
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	7	0	2
1700012B07Rik	1	1	1	1	0	0	0	1	1	1	5	2	0	5	0	0	2	0	0
1700012B09Rik	159	99	275	239	196	168	227	184	132	142	40	76	102	60	69	101	82	72	45
1700012P22Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	232	163	501	233	179	160	266	237	164	315	105	127	177	140	165	117	58	94	25
1700013H16Rik	0	0	1	0	0	5	0	0	0	1	0	0	1	0	12	1	0	1	0
1700014D04Rik	1	1	1	0	0	0	0	0	0	0	4	1	4	0	0	0	3	0	0
1700016C15Rik	11	6	20	45	17	22	25	29	18	38	2	13	6	15	19	5	6	6	0
1700016H13Rik	16	7	20	7	10	15	10	10	23	14	12	14	16	13	24	11	23	15	13
1700016K19Rik	1510	1132	1574	1306	1046	964	1309	982	968	1473	599	779	819	749	832	767	525	549	292
1700017B05Rik	818	906	465	747	831	549	710	404	947	753	2648	2705	2266	2815	1988	2525	4805	3453	6151
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
1700018F24Rik	1	5	4	7	1	0	2	0	2	1	1	10	0	1	1	1	3	0	1
1700019D03Rik	32	56	60	41	13	57	62	43	54	54	25	29	30	11	26	20	23	10	7
1700019N19Rik	0	1	0	5	0	0	1	4	0	0	0	0	0	0	0	0	0	4	0
1700020A23Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	14	0	6
1700020L24Rik	12	8	21	4	19	14	4	24	19	8	13	21	21	29	45	17	28	8	36
1700020N15Rik	0	0	1	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700024G13Rik	543	490	1095	599	459	649	676	878	447	747	102	130	133	48	359	243	34	125	5
1700024J04Rik	2	0	1	1	6	1	1	5	1	6	0	0	0	4	0	0	0	4	0
1700025G04Rik	850	1046	619	702	810	612	753	442	1053	678	604	690	794	498	708	901	694	752	355
1700028K03Rik	1	2	1	0	4	0	0	0	0	0	1	0	0	0	0	4	0	0	0
1700028P14Rik	321	210	416	248	224	226	277	255	200	298	120	124	121	128	160	207	97	116	19
1700029H14Rik	0	0	0	4	1	0	0	0	1	4	2	0	0	5	4	8	1	0	9
1700029I15Rik	7	7	27	25	16	22	6	3	1	14	10	13	5	6	6	5	35	13	30
1700029J07Rik	418	290	538	401	331	399	504	386	270	554	117	144	142	138	228	173	61	144	28
1700030J22Rik	225	187	100	173	223	125	186	14	141	196	107	191	184	153	123	149	95	166	82
1700030K09Rik	360	349	389	277	342	385	369	320	407	419	212	199	277	249	373	361	146	247	39
1700034E13Rik	0	1	3	0	5	6	1	1	1	3	5	1	0	0	1	2	0	0	0
1700034I23Rik	0	1	0	0	0	0	4	0	0	6	1	0	1	0	0	1	0	1	0
1700037C18Rik	209	211	295	311	194	257	240	247	222	272	200	187	175	234	153	265	124	191	74
1700037H04Rik	569	425	352	417	419	427	456	234	475	536	380	435	600	440	410	613	415	409	300
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
1700056E22Rik	23	18	25	25	22	12	37	16	18	35	18	18	22	11	21	6	37	16	2
